match_id,game_id,team,score_team,opponent,score_opp,win_lose,map,map_pick,player_id,player,agent,rating,acs,kill,death,assist,kast%,adr,hs%,fk,fd
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,tkzin,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,tkzin,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,vora,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,vora,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,vora,Unknown,,,0,0,0,,,,,
712803,0,FUT Esports,6,Natus Vincere,13,opponent win,N/A,N/A,0,CyvOph,Unknown,1.50,255,11,6,5,86,165,22,0,0
712803,0,FUT Esports,9,Natus Vincere,13,opponent win,N/A,N/A,0,CyvOph,Unknown,1.14,182,10,4,6,67,130,33,1,1
712803,0,FUT Esports,6,Natus Vincere,13,opponent win,N/A,N/A,0,ExiT,Unknown,1.03,183,5,4,1,71,110,14,2,0
712803,0,FUT Esports,9,Natus Vincere,13,opponent win,N/A,N/A,0,ExiT,Unknown,1.52,303,4,1,3,92,174,18,3,2
712803,0,FUT Esports,6,Natus Vincere,13,opponent win,N/A,N/A,0,KROSTALY,Unknown,0.98,186,4,1,3,83,118,32,3,0
712803,0,FUT Esports,9,Natus Vincere,13,opponent win,N/A,N/A,0,KROSTALY,Unknown,1.24,232,4,2,2,80,137,32,0,1
712803,0,FUT Esports,6,Natus Vincere,13,opponent win,N/A,N/A,0,Ruxic,Unknown,1.01,147,8,4,4,71,135,42,1,1
712803,0,FUT Esports,9,Natus Vincere,13,opponent win,N/A,N/A,0,Ruxic,Unknown,0.65,103,12,7,5,67,82,54,0,1
712803,0,FUT Esports,6,Natus Vincere,13,opponent win,N/A,N/A,0,chloric,Unknown,1.08,161,8,7,1,86,111,43,1,0
712803,0,FUT Esports,9,Natus Vincere,13,opponent win,N/A,N/A,0,chloric,Unknown,0.91,153,4,1,3,92,98,25,1,1
712803,0,FUT Esports,6,Natus Vincere,13,opponent win,N/A,N/A,0,hiro,Unknown,1.91,351,5,4,1,86,213,53,2,0
712803,0,FUT Esports,9,Natus Vincere,13,opponent win,N/A,N/A,0,hiro,Unknown,1.44,375,9,1,8,83,232,33,1,1
712803,0,FUT Esports,6,Natus Vincere,13,opponent win,N/A,N/A,0,s0pp,Unknown,0.77,168,3,1,2,67,119,43,2,1
712803,0,FUT Esports,9,Natus Vincere,13,opponent win,N/A,N/A,0,s0pp,Unknown,1.22,244,5,2,3,80,177,30,3,1
712803,0,FUT Esports,6,Natus Vincere,13,opponent win,N/A,N/A,0,sociablEE,Unknown,0.79,171,2,1,1,58,108,39,0,4
712803,0,FUT Esports,9,Natus Vincere,13,opponent win,N/A,N/A,0,sociablEE,Unknown,0.50,193,10,4,6,80,141,16,1,2
712803,0,FUT Esports,6,Natus Vincere,13,opponent win,N/A,N/A,0,xeus,Unknown,0.65,169,2,1,1,50,115,28,1,1
712803,0,FUT Esports,9,Natus Vincere,13,opponent win,N/A,N/A,0,xeus,Unknown,1.17,224,1,1,0,60,162,56,0,0
712803,0,FUT Esports,6,Natus Vincere,13,opponent win,N/A,N/A,0,yetujey,Unknown,1.34,282,4,0,4,75,205,29,0,0
712803,0,FUT Esports,9,Natus Vincere,13,opponent win,N/A,N/A,0,yetujey,Unknown,0.63,149,11,7,4,70,101,40,1,1
712804,0,Team Liquid,6,Eternal Fire,13,opponent win,N/A,N/A,0,Favian,Unknown,1.28,312,5,2,3,67,236,37,2,4
712804,0,Team Liquid,2,Eternal Fire,13,opponent win,N/A,N/A,0,Favian,Unknown,2.08,403,3,0,3,75,265,46,4,0
